code,grouping,title,description,lithology
ml,ANTHROPOGENIC DEPOSITS,Made land or artificial fill (latest Holocene),Material moved for construction purposes and agricultural disturbances sufficiently extensive to make landforms and deposits difficult to identify,
Qav,VALLEY-AXIS DEPOSITS,Active valley-axis deposit (latest Holocene),"Fine-grained deposits in valley axes characterized by anastamosing washes; complex, subtle interfluves; and complexly interfingering eolian sediments. Composed of moderately to poorly sorted fine gravel, sand, silt, and clay. Loose. Prone to flooding. Moderately vegetated. Contacts with active wash and fan deposits somewhat arbitrary",
Qyv,VALLEY-AXIS DEPOSITS,Young valley-axis deposit (Holocene and latest Pleistocene),"Fine-grained deposits in largely inactive valley-axis locations characterized by anastamosing washes, gentle interfluves, and complexly interfingering eolian sediments. Composed of moderately to poorly sorted sand, silt, and clay. Loose. Moderately vegetated. Soil development similar to that for unit Qya",
Qaw,WASH DEPOSITS,Active wash deposit (latest Holocene),Fluvial wash deposits characterized by surfaces and channels actively receiving sediments within the last few decades. Composed of moderately to poorly sorted sand and gravel. Loose. Prone to flooding. Generally lacks vegetation on surfaces active on annual basis or moderately vegetated (with cheesebush Hymenoclea salsola) on surfaces or channels active on decadal basis. Little or no soil development. Mapped mainly where ephemeral stream flow is channelized; distributed stream flow generally mapped as active alluvial fan deposits (Qaa) or active valley-axis deposits (Qav). Major washes drain New York Mountains to south and southeast and drain Ivanpah and Kelso valleys. Generally light in tone on aerial photographs,
Qyw,WASH DEPOSITS,Young wash deposit (Holocene and latest Pleistocene),"Largely inactive fluvial wash deposits composed of moderately to poorly sorted sand and gravel. Loose. Moderately vegetated, commonly with creosote bush. Smaller fluvial-wash tracts generally designated young alluvial fan deposit (Qya), particularly where distributed across fan rather than in confined channels, but designation is somewhat arbitrary. Soil development similar to that for unit Qya. Generally forms alluvial terraces flanking active washes",
Qiw,WASH DEPOSITS,Intermediate wash deposit (late to middle Pleistocene),"Inactive remnant of alluvial wash sediments generally forming high terraces along edges of major wash systems. Moderately compact. Sparsely vegetated. Smaller wash tracts are generally designated as alluvial fan deposits (Qia). Soil development similar to that for unit Qia. Levee-shaped terraces flanking large washes draining south from New York Mountains are several meters high and mapped as unit Qiw; they grade laterally into unit Qiag, and boundary is defined by edge of levee landform",
Qaa,ALLUVIAL AND DEBRIS-FLOW DEPOSITS,Active alluvial fan deposit (latest Holocene),"Alluvial fan deposits characterized by surfaces and channels actively receiving sediments within the last few decades. Composed of poorly sorted gravel and sand. Loose. Prone to flooding. Generally lacks vegetation on surfaces active on annual basis or moderately vegetated on surfaces or channels active on decadal basis. Rough microtopography; strongly developed bar and swale in much of fan; less pronounced in distal fan. Generally, the annually active surfaces are a small part of the unit and form discrete channels. Little or no soil development. Contacts with active wash deposits (Qaw) are somewhat arbitrary, with wash unit commonly assigned to consistently inset channels. Generally light in tone on aerial photographs",
Qaag,ALLUVIAL AND DEBRIS-FLOW DEPOSITS,Active alluvial fan deposit composed of grus,Predominately clasts from granitic source that weathers to grus. Surface undulating with smooth microtopography; little channel incision,
Qya,ALLUVIAL AND DEBRIS-FLOW DEPOSITS,Young alluvial fan deposit (Holocene and latest Pleistocene),"Alluvial fan deposits characterized by surfaces that are abandoned or that receive infrequent flood deposits. Composed of poorly sorted sand and gravel. Loose to slightly compact. Weakly developed soil, expressed as incipient to weak sandy Av horizon and weak cambic horizon; stage I or no calcic soil (calcic stages follow Gile and others, 1966). Fairly rough surface topography in much of fan with moderate to faint remnants of bar and swale topography. Moderately to sparsely vegetated, especially with creosote bush (Larrea tridentata) and smaller desert shrubs. Generally no desert pavement. Incipient to weak varnish on clasts. As mapped, includes narrow channels of active alluvial fan deposits ",
Qyag,ALLUVIAL AND DEBRIS-FLOW DEPOSITS,Young alluvial fan deposit composed of grus,Clasts from granitic sources that weather to grus. Surface undulating and smooth; little channel dissection. Soils are immature; pavements and Av horizon rare. Unit is common downslope of Cretaceous granite outcrops ,
