code,title,description
Qu,"Surficial deposits, undivided (Pleistocene and Holocene)","For more detailed reports of surficial deposits, see Helley and others (1979), Atwater (1982), Herd (1978 a, b), and Borchardt and Seelig (1991)."
Qls,Landslide deposits (Pleistocene and Holocene),"Landslides are intentionally omitted from most of this map because they are so numerous they would conceal much of the information on bedrock geology. Only a few of the large landslide areas are shown. For more comprehensive reports of landslides in the area, see Nilsen and others (1979) and Ellen and Wieczorek (1988). In addition, a list of pertinent literature on landslides in Contra Costa County is provided by White (1990)."
Tb,Basaltic intrusive rocks (Pliocene),Hypabyssal basalt dikes and sills.
Tsv,Silicic intrusive rocks (Miocene),"Rhyolite to andesite porphyry stocks, dikes and sills."
KJf,Franciscan Complex (Jurassic to Upper Cretaceous),"Sheared sedimentary and metamorphic rock with zones and blocks of chert (fc), hard graywacke and shale (fss), greenstone (fg), basalt and chert (fbc), melange of metamorphic rocks including glaucophane and other schistose rocks in sheared sandstone and shale matrix (fm), and sandstone (graywacke) (fs); also includes small bodies of serpentinite, silica carbonate rocks, and silicic volcanic rocks (keratophyre)."
fc,Franciscan Complex (Jurassic to Upper Cretaceous) chert,
fss,Franciscan Complex (Jurassic to Upper Cretaceous) hard graywacke and shale,
fg,Franciscan Complex (Jurassic to Upper Cretaceous) greenstone,
fbc,Franciscan Complex (Jurassic to Upper Cretaceous) basalt and chert,
fm,Franciscan Complex (Jurassic to Upper Cretaceous) melange,Melange of metamorphic rocks including glaucophane and other schistose rocks in sheared sandstone and shale matrix
fs,Franciscan Complex (Jurassic to Upper Cretaceous) sandstone (graywacke),
Tbp,Bald Peak Basalt (Miocene),"Massive basalt flows. Ar/Ar ages 8.37+0.2 and 8.46+0.2 Ma (Curtis, 1989)."
Tst,Siesta Formation (Miocene),"Non-marine siltstone, claystone, sandstone, and minor limestone."
Tm,Moraga Formation (Miocene),"Basalt and andesite flows, minor rhyolite tuff. Ar/Ar ages range from 9.0+0.3 to 10.2+0.5 Ma (Curtis, 1989). Interflow sedimentary rocks (Tms) mapped locally."
Tms,"Moraga Formation (Miocene), interflow sedimentary rocks",Interflow sedimentary rocks of the Moraga Formation
Tor,Orinda Formation (Miocene),"Conglomerate, sandstone, siltstone. Nonmarine with abundant clasts of rocks from the Franciscan Complex."
Tcc,Claremont Chert (Miocene),"Laminated and bedded diatomaceous chert, minor brown shale and white sandstone. Interbedded sandstone (Tccs) mapped locally."
Tccs,Interbedded sandstone of the Claremont Chert (Miocene),
Tgs,"Unnamed sandstone and siltstone (Eocene, Oligocene, and Miocene)",Glauconitic sandstone and brown massive siltstone.
Tsh,Greenish gray shale (Eocene),
Kph,Pinehurst Shale (Late Cretaceous),"Siliceous shale with interbedded sandstone and siltstone. Includes maroon, concretionary shale at base. This formation was originally considered to be Paleocene, but it contains foraminifers and radiolarians of Late Cretaceous age in its type area and throughout its outcrop extent."
Kr,Redwood Canyon Formation (Late Cretaceous),"Massive, distinctly bedded sandstone with minor interbedded siltstone"
Ksc,Shephard Creek Formation (Late Cretaceous),Mainly shale with minor sandstone.
Ko,Oakland Conglomerate (Late Cretaceous),Conglomerate containing mainly silicic volcanic clasts and massive biotite-rich quartz sandstone.
Kjm,Joaquin Miller Formation (Late Cretaceous),Shale with minor sandstone.
JKk,Knoxville Formation (Late Jurassic to Early Cretaceous),"Mainly dark, greenish-gray shale with sandstone interbeds; also, locally includes conglomerate and sandstone in its lower part. Locally contains abundant specimens of bivalve fossil Buchia."
Jsv,Coast Range Ophiolite (Jurassic) Keratophyre,Altered silicic volcanic rocks including keratophyre and quartz keratophyre.
Qmz,Montezuma Formation (Pleistocene),"Poorly consolidated sand, with minor gravel, silt, and clay."
Tmlu,"Mullholland Formation of Ham (1952) (Pliocene) Upper member; conglomerate, sandstone, and mudstone.",
Tmll,Mullholland Formation of Ham (1952) (Pliocene) Lower member; sandstone and mudstone,
