code,grouping,title,description,lithology
ml,ANTHROPOGENIC DEPOSITS,Made land,Material moved for construction purposes and agricultural disturbance sufficiently extensive to make landforms and deposits difficult to identify,artificial
Qaa,ALLUVIAL DEPOSITS,Active alluvial fan deposit (Holocene),"Alluvial fan deposits characterized by surfaces and channels that actively receive or have received sediments within the last few years or decades. Composed of unconsolidated, poorly sorted gravel and sand in channels, fine sands and silts in overbank deposits. Deposit consists of active channel and young terrace or bar deposits. The annually active channel surfaces are a small part of the unit and form discrete channels that are commonly smooth. Terrace deposits with rough microtopography; strongly developed bar and swale throughout much of the extent of fan; less pronounced microtopography in distal fan. No soil development in active channels and little or no soil development, which may be expressed as accumulations of silt in the upper horizon, in terrace deposits. Surfaces active on a decadal scale form terraces 10 to 60 cm above active channels. Deposits inset into most of older alluvial deposits. Surfaces commonly lack annual and perennial vegetation on surfaces active on annual to decadal scale and are moderately to heavily inhabited with annual and perennial vegetation on surfaces or channels active on decadal to centennial scale. Perennial vegetation commonly consists of creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa). Surfaces are prone to flooding and sheet flow during intense or long-lasting precipitation events. Active channels inferred to be less than 10 to 20 years or less based on flooding frequency, terrace and bar deposits ranging from 20 to 100 years based on flooding frequency from air photography at different times, and 19th and 20th century tracks and trails buried by these deposits. Subdivided where predominantly grus",
Qaag,ALLUVIAL DEPOSITS,Active alluvial deposit composed of grus,Alluvial fan composed predominately of clasts from granitic source that weathers to grus. Surface undulates with smoother microtopography than unit Qaa; depths of channel incision is smaller; typically 10 to 40 cm separates active surfaces from centennial active surfaces,
Qya,ALLUVIAL DEPOSITS,Young alluvial fan deposit (Holocene and latest Pleistocene),"Alluvial fan deposits characterized by surfaces that are abandoned or receive flood materials on a centennial to millennial basis. Moderately to poorly sorted, loose to slightly compact sand and sandy gravel. Coarser-grained especially near nongranitic mountain fronts where boulders and cobbles are common. No or very weak desert pavement. Incipient to weak varnish on clasts. Soil development consists of 1-to-3-cm-thick, incipient to weak fine sand and silt Av, occasional reddening of subsurface (cambic B) horizons, and stage I calcic development. Microtopography ranges from 20 to 60 cm in much of fan and consists of moderate to faint remnants of bar and swale topography. Moderately to sparsely inhabited with creosote bush and smaller shrubs, typically white bursage. Can contain abundant patches of cryptobiotic soil crusts. Surfaces typically 0.3 to 1.5 m above active channels. This unit may contain any of the following subunits",
Qyay,ALLUVIAL DEPOSITS,Younger young alluvial fan deposit (Holocene),Mapped as areas that lack deposits of unit Qyao,
Qyad,ALLUVIAL DEPOSITS,Young alluvial fan composed of debris-flow deposits (Holocene and latest Pleistocene),"Young alluvial deposits dominated by debris flows of bouldery, matrixsupported material. Bar and swale microtopography is distinct on the order of 0.5 to 1 m high. Mapped only where determined from field study; deposits are much more widespread than shown. Common along west side of Providence Mountains",
Qyaf,ALLUVIAL DEPOSITS,Young alluvial fan composed of fine-grained deposits (Holocene and latest Pleistocene),"Alluvial deposits dominated by fine-grained sediments in the extreme distal portions of fans or where wash deposits build fans onto playas, such as the terminus of Fenner wash. Commonly very subdued microtopography, very sparsely or unvegetated and mixed with eolian deposits",
Qyao,ALLUVIAL DEPOSITS,Older young alluvial fan deposit (Holocene and latest Pleistocene),"Alluvial deposits characterized by 1 to 5 m2 patches of weakly to moderately developed pavements with weak varnish on clasts that develop varnish. Soil development consists of 1 to 4 cm thick Av horizon, weak cambic to Btw horizon, and stage I to II calcic horizon. Deposits inset into older (Qia) deposits and typically are incised by younger deposits (younger Qya and Qaa). Dated at about 10 ka by OSL in Fenner wash near the town of Fenner (Shannon Mahan, written commun., 2003; see discussion) and lie on groundwater discharge deposits dated at 13 ka by luminescence methods (Shannon Mahan, written commun., 2000; see discussion) in lower Kelso Wash just north of the map area. Mapped only where determined from field study; deposits are much more widespread than shown",
Qyag,ALLUVIAL DEPOSITS,Young alluvial fan deposit composed of grus (Holocene and latest Pleistocene),"Alluvial fan deposits made up of clasts from granitic source that weathers to grus. Surface undulating and smooth with smaller magnitudes of channel dissection. Soil development is weak with sandy incipient to weak sand and silt Av, poorly developed cambic horizons, and stage I to I+ calcic horizons. Surfaces typically 20 to 50 cm above active channels. Very common downslope of Cretaceous granite outcrops.",
Qyaog,ALLUVIAL DEPOSITS,Older young alluvial fan deposit composed of grus (Holocene and latest Pleistocene),"Older young alluvial deposits made up of clasts from granitic source that weathers to grus and characterized by weakly developed pavements that generally lack varnish. Soil development is weaker than Qyao, particularly as weak sandy Av horizons. Mapped only where determined from field study (mostly in the northwestern Granite Mountains); deposits are much more widespread than shown",
